what,kind,bundleId,bundleVersion,description,time
arch,sysinfo,,,"x86",1458309060246
ws,sysinfo,,,"win32",1458309060246
locale,sysinfo,,,"zh_CN",1458309060246
processors,sysinfo,,,"2",1458309060246
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1458309060246
java.runtime.version,sysinfo,,,"1.6.0_30-b12",1458309060246
java.specification.name,sysinfo,,,"Java Platform API Specification",1458309060246
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1458309060246
java.specification.version,sysinfo,,,"1.6",1458309060246
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1458309060246
java.version,sysinfo,,,"1.6.0_30",1458309060246
java.vm.info,sysinfo,,,"mixed mode, sharing",1458309060246
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1458309060246
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1458309060246
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1458309060246
java.vm.specification.version,sysinfo,,,"1.0",1458309060246
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1458309060246
java.vm.version,sysinfo,,,"20.5-b03",1458309060246
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1458309060255
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1458309061546
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1458309158360
started,bundle,org.eclipse.m2e.core,1.0.100.20110804-1717,"org.eclipse.m2e.core",1458309159538
started,bundle,com.google.gdt.eclipse.designer.wizards,2.4.2.r37x201110181249,"com.google.gdt.eclipse.designer.wizards",1458309160455
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1458309160478
error,log,,,"Unable to update index for central|http://repo1.maven.org/maven2",1458309164027
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1458309174664
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1458309200895
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1458309208790
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1458309247908
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1458309248130
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1458309254463
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1458309254495
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1458309261288
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1458309262754
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1458309270137
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1458309270287
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1458309270394
started,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1458309270825
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1458309270904
